Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
TiO2_Coating_PV,-19.5327,72.4118,-2286.83,0.316673,365.773,5.0731014599999995e-17
Gd2O3_Coating_PV,-19.7623,72.6605,-2286.72,0.416468,322.584,6.67181736e-17
World,-19.9985,72.8032,-2286.64,6.23342,8311080.0,9.985938839999999e-16
World,-6213.21,4514.82,-116.911,4.41009,7224870.0,7.064964180000001e-16
World,-6213.21,4514.82,-116.911,1.13116,68112.7,1.81211832e-16
Cladding_PV,36.2724,6.63628,-2500.0,0.02201,37487.2,3.526001999999999e-18
Cladding_PV,59.0639,-12.9371,-2477.58,0.09563,4.08707,1.5319926e-17
Cladding_PV,59.0639,-12.9371,-2477.58,0.03636,2.52015,5.824872e-18
Cladding_PV,59.0639,-12.9371,-2477.58,6.65707,21412.5,1.066462614e-15
TiO2_Coating_PV,67.8442,-31.9713,-2474.49,0.200947,403.114,3.21917094e-17
Gd2O3_Coating_PV,68.0162,-32.3093,-2474.35,0.0545829,273.768,8.744180579999999e-18
World,68.128,-32.5397,-2474.26,2.06099,11766800.0,3.3017059799999995e-16
Cladding_PV,-47.185,-12.2952,-2445.47,4.9173,13625.4,7.8775146e-16
Cladding_PV,-46.6053,-14.3989,-2432.3,21.0521,17184.9,3.3725464199999998e-15
Cladding_PV,-50.9262,-12.343,-2416.26,13.4463,15917.3,2.15409726e-15
Cladding_PV,-57.1984,-9.63694,-2402.41,3.01396,9376.83,4.82836392e-16
Cladding_PV,-59.423,-7.53859,-2393.74,3.39789,9561.78,5.44341978e-16
Cladding_PV,-58.2433,-6.1892,-2384.56,12.1787,9554.38,1.9510277399999997e-15
Cladding_PV,-59.132,-2.61357,-2375.97,12.5121,10789.8,2.0044384199999998e-15
Cladding_PV,-57.5454,0.333534,-2366.03,3.98131,9485.83,6.37805862e-16
Cladding_PV,-58.0536,1.78281,-2356.95,6.37349,10759.1,1.021033098e-15
Cladding_PV,-56.9279,9.75604,-2350.38,8.67553,11057.8,1.389819906e-15
Cladding_PV,-60.2614,19.4744,-2347.64,5.44856,7513.88,8.728593119999999e-16
Cladding_PV,-63.4906,25.8925,-2348.87,9.8625,9412.48,1.5799725e-15
Cladding_PV,-66.941,33.4191,-2351.18,0.0778872,202.708,1.2477529440000001e-17
TiO2_Coating_PV,-67.1349,33.435,-2351.23,0.312852,336.847,5.01188904e-17
Gd2O3_Coating_PV,-67.4573,33.4604,-2351.32,0.0208418,233.166,3.33885636e-18
World,-67.6715,33.4786,-2351.39,6.33893,10564100.0,1.015496586e-15
Cladding_PV,58.2175,-6.04293,-2304.24,7.67015,19707.3,1.2287580299999998e-15
Cladding_PV,57.9938,-0.902941,-2285.5,7.23221,19126.6,1.158600042e-15
Cladding_PV,61.3486,4.55211,-2267.77,3.84262,18428.0,6.15587724e-16
Cladding_PV,64.626,11.3273,-2251.24,6.46616,19084.2,1.035878832e-15
Cladding_PV,55.7425,-4.44372,-2256.3,5.81973,20005.6,9.32320746e-16
Cladding_PV,38.4216,-12.5403,-2260.95,11.1675,21833.0,1.7890335e-15
Cladding_PV,17.2012,-15.0309,-2262.52,4.34023,20597.7,6.95304846e-16
Cladding_PV,-2.07155,-9.68674,-2261.75,6.95044,16435.7,1.113460488e-15
Cladding_PV,-18.1317,-9.20664,-2259.8,7.58867,18854.2,1.215704934e-15
Cladding_PV,-36.1339,-7.01108,-2256.12,3.61315,18740.4,5.7882663e-16
Cladding_PV,-52.6535,-0.398331,-2251.52,5.309,17603.6,8.505018e-16
Cladding_PV,-66.2941,5.10945,-2242.46,6.07339,11691.6,9.72957078e-16
TiO2_Coating_PV,-74.5131,8.53185,-2235.4,0.42223,350.621,6.764124599999999e-17
Gd2O3_Coating_PV,-74.8011,8.65403,-2235.24,0.01186,242.299,1.899972e-18
World,-74.9934,8.73134,-2235.12,1.84407,13833800.0,2.95420014e-16
Cladding_PV,40.6117,-18.3602,-2042.9,46.2043,20153.8,7.40192886e-15
Cladding_PV,-0.204043,-10.9992,-2492.88,2.61958,6629.97,4.1965671599999997e-16
Cladding_PV,-4.42921,-9.10157,-2497.5,0.723118,2768.14,1.158435036e-16
World,-5.32844,-8.46369,-2500.0,0.392805,2543410.0,6.2927361e-17
World,-410.198,1258.91,-4661.79,3.81027,5837500.0,6.104052539999999e-16
World,-410.198,1258.91,-4661.79,1.75762,132170.0,2.81570724e-16
Cladding_PV,-34.7808,11.6998,-2493.9,2.87273,16034.2,4.602113459999999e-16
Cladding_PV,-46.1603,22.3519,-2491.23,5.89317,14725.2,9.44085834e-16
Cladding_PV,-58.7074,28.1627,-2486.74,6.10944,10799.6,9.78732288e-16
TiO2_Coating_PV,-67.2994,33.1027,-2483.06,0.238483,332.805,3.82049766e-17
Gd2O3_Coating_PV,-67.5844,33.203,-2482.92,0.426371,221.049,6.83046342e-17
World,-67.7685,33.2817,-2482.83,1.84407,11114000.0,2.95420014e-16
Cladding_PV,65.6423,22.7109,-1752.99,4.1491,11797.5,6.646858199999999e-16
TiO2_Coating_PV,71.2394,23.4508,-1742.82,0.14804,489.244,2.3716008e-17
Gd2O3_Coating_PV,71.5447,23.4829,-1742.44,0.253837,319.056,4.0664687399999996e-17
World,71.7489,23.502,-1742.19,2.40528,15534400.0,3.8532585599999997e-16
Cladding_PV,-34.8331,-65.0699,-2447.26,7.49086,865.52,1.2000357719999999e-15
Cladding_PV,6.07894,4.30483,-2499.3,0.809056,627.23,1.2961077119999998e-16
Cladding_PV,5.6733,4.69239,-2499.04,0.43962,609.155,7.0427124e-17
Cladding_PV,5.27123,4.97206,-2498.69,1.53843,755.616,2.46456486e-16
Cladding_PV,4.9365,5.17608,-2498.06,1.37209,1061.77,2.19808818e-16
Cladding_PV,4.81591,5.3425,-2497.05,2.20534,1800.66,3.53295468e-16
Cladding_PV,5.60226,5.93927,-2495.66,4.1835,2716.66,6.701967e-16
Cladding_PV,7.2262,7.41822,-2494.49,3.36998,2936.2,5.39870796e-16
Cladding_PV,9.27116,6.12115,-2493.52,25.733,7272.42,4.1224266e-15
World,-1814.32,1602.87,-2039.26,2.23174,8993340.0,3.57524748e-16
World,-1478.84,-451.919,-3443.29,1.46533,7930570.0,2.34745866e-16
World,-287.461,138.01,-2324.99,2.642,13240400.0,4.2324839999999997e-16
World,2396.85,849.781,-4259.32,1.71146,8266930.0,2.74175892e-16
Cladding_PV,-2.59637,-65.6177,-2495.94,3.09794,10325.4,4.96289988e-16
Cladding_PV,-7.17028,-74.1241,-2498.66,0.709463,773.258,1.136559726e-16
TiO2_Coating_PV,-7.68533,-74.6052,-2498.98,0.0824017,517.527,1.3200752339999998e-17
Gd2O3_Coating_PV,-8.05142,-74.8683,-2499.23,0.503589,393.259,8.067495779999999e-17
World,-8.37246,-75.0343,-2499.37,1.81928,12396100.0,2.91448656e-16
Cladding_PV,-48.6016,-1.41841,-2347.65,9.68114,24695.0,1.5509186279999998e-15
Cladding_PV,-49.0841,17.5259,-2332.35,130.037,23302.6,2.08319274e-14
Cladding_PV,-47.3326,35.8604,-2318.6,9.30561,18650.3,1.4907587219999999e-15
Cladding_PV,-49.0496,49.6704,-2306.82,3.43432,8803.26,5.50178064e-16
TiO2_Coating_PV,-48.7338,57.009,-2302.37,0.294626,617.748,4.71990852e-17
Gd2O3_Coating_PV,-48.6141,57.5044,-2302.03,0.153413,359.036,2.45767626e-17
World,-48.5726,57.801,-2301.84,4.76893,13276200.0,7.63982586e-16
Cladding_PV,31.8193,-52.038,-2469.51,4.2222,11155.1,6.7639644e-16
Cladding_PV,39.9999,-59.2966,-2470.56,2.34148,3672.05,3.7510509599999996e-16
TiO2_Coating_PV,42.7558,-61.6193,-2471.0,0.0393515,313.76,6.3041103e-18
Gd2O3_Coating_PV,42.9983,-61.8162,-2471.02,0.011177,209.724,1.7905553999999997e-18
World,43.159,-61.948,-2471.03,0.858312,5203910.0,1.375015824e-16
World,4397.33,-2869.74,-2178.21,1.4134,6259240.0,2.2642667999999997e-16
World,4397.33,-2869.74,-2178.21,2.57959,244373.0,4.13250318e-16
World,7372.03,2875.57,-7586.33,0.28661,2943830.0,4.5914921999999994e-17
Cladding_PV,11.9198,-13.0344,-2492.89,2.03695,4009.26,3.2631939e-16
Cladding_PV,8.9877,-13.6362,-2495.42,1.78226,2760.91,2.85518052e-16
Cladding_PV,6.94697,-13.696,-2497.21,5.33329,2207.91,8.54393058e-16
Cladding_PV,5.09616,-14.0135,-2498.32,0.897022,2132.82,1.437029244e-16
Cladding_PV,3.12201,-14.4951,-2498.86,2.18001,2798.3,3.4923760199999996e-16
Cladding_PV,0.752817,-15.1157,-2499.96,0.0936447,50.9993,1.500188094e-17
World,0.72309,-15.1008,-2500.0,2.88501,6814280.0,4.621786019999999e-16
World,-4927.35,1388.62,-6800.26,1.88342,6457250.0,3.01723884e-16
World,-4927.35,1388.62,-6800.26,4.56799,1936440.0,7.31791998e-16
World,-5009.25,2361.56,-7443.09,6.11386,1089580.0,9.79440372e-16
Cladding_PV,58.8269,-21.8498,-2445.78,7.28952,6731.6,1.167781104e-15
Cladding_PV,53.6889,-25.2854,-2444.11,6.79464,9279.1,1.088501328e-15
Cladding_PV,47.613,-31.1107,-2442.51,9.64986,10923.1,1.545907572e-15
Cladding_PV,49.3687,-39.3062,-2447.58,11.4973,8266.68,1.8418674599999998e-15
Cladding_PV,48.6388,-43.585,-2453.58,4.13934,5382.07,6.63122268e-16
Cladding_PV,48.7157,-46.0856,-2457.7,4.31639,4750.14,6.91485678e-16
Cladding_PV,50.4252,-43.8489,-2460.86,6.98523,4450.39,1.119033846e-15
Cladding_PV,51.8247,-40.3421,-2461.84,27.0803,7949.28,4.33826406e-15
Cladding_PV,13.3799,68.1884,-2380.16,2.59095,7538.12,4.1507018999999997e-16
TiO2_Coating_PV,18.6784,72.6369,-2377.35,0.150411,429.817,2.4095842199999997e-17
Gd2O3_Coating_PV,18.9923,72.8655,-2377.17,0.454634,295.023,7.28323668e-17
